x_index,y_index,resolution,x,y,elevation,min_height,max_height,semantic_class,confidence,occupancy,dynamic_probability,point_count,last_updated
219,-78,0.25,54.75,-19.5,0.008259881847490137,0.008259881847490137,0.008259881847490137,ROAD,0.8782528493727749,1,0.0,1,0
-123,-217,0.1,-12.3,-21.700000000000003,-0.004751527581999205,-0.004751527581999205,-0.004751527581999205,ROAD,0.7866224230029834,1,0.0,1,0
157,62,0.25,39.25,15.5,0.014268213219396426,0.014268213219396426,0.014268213219396426,ROAD,0.9940889287357977,1,0.0,1,0
-163,103,0.5,-81.5,51.5,0.02610696403344298,0.01164429342119305,0.040569634645692916,ROAD,0.8072880438646846,1,0.0,2,0
190,-44,0.5,95.0,-22.0,0.008066813783825113,-0.007787964832834005,0.019702755709298612,ROAD,0.842373372921743,1,0.0,5,0
104,-100,0.5,52.0,-50.0,-0.03102536032960106,-0.03999872595764336,-0.022915787243124226,ROAD,0.8117281246238653,1,0.0,3,0
114,86,0.5,57.0,43.0,0.013625746876839175,0.013625746876839175,0.013625746876839175,ROAD,0.7405892352696333,1,0.0,1,0
-149,-14,0.5,-74.5,-7.0,0.011444105279764494,-2.1302463426948763e-05,0.027790146057908652,ROAD,0.8419068826543427,1,0.0,3,0
-100,252,0.1,-10.0,25.200000000000003,0.006683953731753456,0.006683953731753456,0.006683953731753456,ROAD,0.93689678245744,1,0.0,1,0
-104,125,0.25,-26.0,31.25,-0.021758364968957427,-0.021758364968957427,-0.021758364968957427,ROAD,0.9929107470645698,1,0.0,1,0
115,61,0.25,28.75,15.25,-0.04345458041518465,-0.04345458041518465,-0.04345458041518465,ROAD,0.7993858328696318,1,0.0,1,0
129,133,0.5,64.5,66.5,-0.011360015670501699,-0.06409079373280722,0.030447972589028423,ROAD,0.8687207243129368,1,0.0,5,0
-114,206,0.1,-11.4,20.6,0.0026716849928590655,0.0026716849928590655,0.0026716849928590655,ROAD,0.7207185763739509,1,0.0,1,0
-219,-18,0.25,-54.75,-4.5,0.022718687471521302,0.022718687471521302,0.022718687471521302,ROAD,0.773019463637437,1,0.0,1,0
21,130,0.5,10.5,65.0,-0.024414800112364646,-0.030182216082484198,-0.018647384142245094,ROAD,0.8617351971522078,1,0.0,2,0
-175,7,0.5,-87.5,3.5,-0.02536218350830444,-0.03795026006463137,-0.011180465260664765,ROAD,0.8073435886141339,1,0.0,3,0
131,-64,0.5,65.5,-32.0,0.024316679369896337,-0.00938997592904681,0.05802333466883948,ROAD,0.8090141428129771,1,0.0,2,0
52,-137,0.5,26.0,-68.5,-0.00940083142694886,-0.038350045028116043,0.015456986712312996,ROAD,0.8384552077391471,1,0.0,4,0
103,-76,0.5,51.5,-38.0,0.01717313353953184,0.004979052896584994,0.029367214182478684,ROAD,0.830094206037252,1,0.0,2,0
-117,-132,0.25,-29.25,-33.0,-0.018984078071415,-0.018984078071415,-0.018984078071415,ROAD,0.8100825277094734,1,0.0,1,0
188,-41,0.5,94.0,-20.5,-0.009596113276305933,-0.009609557864019031,-0.009582668688592835,ROAD,0.8528767361547118,1,0.0,2,0
157,-82,0.5,78.5,-41.0,0.008505516832920862,-0.029129804576325163,0.045358593523560475,ROAD,0.8543231243222869,1,0.0,5,0
111,92,0.5,55.5,46.0,0.023190733089741265,-0.010833388381130767,0.057214854560613294,ROAD,0.9382505264244585,1,0.0,2,0
-123,-111,0.5,-61.5,-55.5,0.005067423477022931,-0.022165737725185566,0.03230058467923143,ROAD,0.9018093126603686,1,0.0,2,0
-27,177,0.25,-6.75,44.25,-0.012023220697777458,-0.022017643176252488,-0.0020287982193024296,ROAD,0.846640068383556,1,0.0,2,0
146,17,0.25,36.5,4.25,0.00521440021837667,0.00521440021837667,0.00521440021837667,ROAD,0.8827266675108507,1,0.0,1,0
195,-79,0.25,48.75,-19.75,0.027822031979156468,0.004642154854311967,0.051001909104000966,ROAD,0.9417515051479028,1,0.0,2,0
187,-40,0.5,93.5,-20.0,0.01879102210000105,-0.0011649952814961615,0.035390881026485646,ROAD,0.8812823619478835,1,0.0,4,0
-140,33,0.25,-35.0,8.25,-0.02214369176689998,-0.05155935849513519,0.007271974961335228,ROAD,0.78344371465188,1,0.0,2,0
-104,163,0.25,-26.0,40.75,-0.0889268821949464,-0.0889268821949464,-0.0889268821949464,ROAD,0.8559133069238176,1,0.0,1,0
-25,-192,0.25,-6.25,-48.0,-0.019216226961180947,-0.019216226961180947,-0.019216226961180947,ROAD,0.7213595832556432,1,0.0,1,0
-125,99,0.5,-62.5,49.5,0.015785746118470764,-0.01367324885630458,0.03521033530261398,ROAD,0.8064713267229182,1,0.0,4,0
-149,-90,0.5,-74.5,-45.0,0.06061572302332388,0.06061572302332388,0.06061572302332388,ROAD,0.8461524030512717,1,0.0,1,0
-20,167,0.25,-5.0,41.75,-0.005488824208495809,-0.005488824208495809,-0.005488824208495809,ROAD,0.8221097962364123,1,0.0,1,0
135,-2,0.25,33.75,-0.5,0.021519568525797714,-0.009355370600162893,0.05239450765175832,ROAD,0.8835366638872073,1,0.0,2,0
-51,-230,0.25,-12.75,-57.5,-0.0008757777293891819,-0.0008757777293891819,-0.0008757777293891819,ROAD,0.7797065786831061,1,0.0,1,0
133,113,0.5,66.5,56.5,0.008432877881107624,-0.007554816960459111,0.03322823440747812,ROAD,0.8802468997810555,1,0.0,3,0
80,-180,0.5,40.0,-90.0,0.017800495981956686,0.009290618660504379,0.026310373303408994,ROAD,0.9292572969917351,1,0.0,2,0
-151,-19,0.25,-37.75,-4.75,0.026558496515169235,0.026558496515169235,0.026558496515169235,ROAD,0.7359433574015505,1,0.0,1,0
121,12,0.5,60.5,6.0,0.014033094353410429,-0.022199987101567405,0.05026617580838826,ROAD,0.8530327801075877,1,0.0,2,0
-91,-155,0.25,-22.75,-38.75,-0.019296728329295472,-0.019296728329295472,-0.019296728329295472,ROAD,0.9856743470350612,1,0.0,1,0
-85,126,0.5,-42.5,63.0,-0.0018370114622888074,-0.023214360352556772,0.02536723837922597,ROAD,0.8184417910448154,1,0.0,3,0
145,175,0.25,36.25,43.75,-0.03420850831114641,-0.08465421498669536,0.016237198364402537,ROAD,0.8366304539111629,1,0.0,2,0
114,-57,0.5,57.0,-28.5,0.024452386879683992,0.024452386879683992,0.024452386879683992,ROAD,0.7040389018712329,1,0.0,1,0
131,-190,0.25,32.75,-47.5,-0.02180098640268939,-0.02180098640268939,-0.02180098640268939,ROAD,0.76367965028952,1,0.0,1,0
82,-173,0.5,41.0,-86.5,-0.0055821892882550565,-0.006651810055250343,-0.004512568521259771,ROAD,0.75035604553269,1,0.0,2,0
112,-46,0.5,56.0,-23.0,-0.010432643924054154,-0.02859450229821784,0.007729214450109531,ROAD,0.9097782664491257,1,0.0,2,0
-17,-159,0.5,-8.5,-79.5,-0.019151440297209818,-0.019151440297209818,-0.019151440297209818,ROAD,0.911682220520596,1,0.0,1,0
54,163,0.25,13.5,40.75,0.007316476357875858,0.007316476357875858,0.007316476357875858,ROAD,0.9192043168985066,1,0.0,1,0
-145,41,0.5,-72.5,20.5,0.0016823055385975514,-0.0317395753704206,0.012994882668393586,ROAD,0.868398645650992,1,0.0,4,0
-155,-46,0.5,-77.5,-23.0,-0.004355609525251208,-0.02383716825249771,0.01840633603528131,ROAD,0.87213078798403,1,0.0,5,0
134,-155,0.25,33.5,-38.75,-0.024864552512418116,-0.024864552512418116,-0.024864552512418116,ROAD,0.8834819131689597,1,0.0,1,0
-24,-200,0.25,-6.0,-50.0,0.004532340667279642,0.004532340667279642,0.004532340667279642,ROAD,0.8430531156065922,1,0.0,1,0
26,-152,0.5,13.0,-76.0,0.009134344529888028,-0.011745025232733316,0.035225903242770126,ROAD,0.8552380557806479,1,0.0,4,0
105,-73,0.5,52.5,-36.5,-0.00703950068794965,-0.041190777285391826,0.030257934082940686,ROAD,0.8582517164879738,1,0.0,4,0
53,-172,0.5,26.5,-86.0,0.00649601006141784,-0.0009081791642427217,0.013900199287078403,ROAD,0.8100606844440679,1,0.0,2,0
107,-34,0.1,10.700000000000001,-3.4000000000000004,0.02775130221023015,0.02775130221023015,0.02775130221023015,ROAD,0.930640436245904,1,0.0,1,0
23,183,0.5,11.5,91.5,-0.016289775312637866,-0.051927087079963595,0.01934753645468786,ROAD,0.8763399165076157,1,0.0,2,0
-79,126,0.5,-39.5,63.0,0.07778783430258132,0.07778783430258132,0.07778783430258132,ROAD,0.9593485641344839,1,0.0,1,0
-51,-184,0.25,-12.75,-46.0,-0.050643333234134814,-0.050643333234134814,-0.050643333234134814,ROAD,0.9838090213471387,1,0.0,1,0
-229,-66,0.25,-57.25,-16.5,0.01694190270390891,0.01227690132923846,0.021606904078579358,ROAD,0.9765274634721357,1,0.0,2,0
